data_name,method,mallows_dispersion,reference_ranking,consensus_accuracy,exposure_ratio,consensus_ranking,group_0,group_1,group_0_avg_exp,group_1_avg_exp,Gamma
Mallows,EPIK,0,a,0.604385965,0.864566983,[ 8 19  1 12  2 14 16 15  6  9 11  3  4  0 18  7 10 17 13  5],grp0-012345,grp1-678910111213141516171819,0.366921401,0.317228128,0.6
Mallows,EPIRA+Kemeny,0,a,0.605263158,0.939935987,[ 8  1 19 12  2 14 16 15  9  6 11  4 18  0  3 10  7 17 13  5],grp0-012345,grp1-678910111213141516171819,0.358472814,0.336941498,0.6
Mallows,EPIRA+Copeland,0,a,0.594736842,0.885332875,[19  1 12  8 16 15 14 11  6  2  9  0  4  3 17 13  7 18 10  5],grp0-012345,grp1-678910111213141516171819,0.364554131,0.322751757,0.6
Mallows,EPIRA+Copeland_noWiG,0,a,0.594736842,0.885332875,[19  1 12  8 16 15 14 11  6  2  9  0  4  3 17 13  7 18 10  5],grp0-012345,grp1-678910111213141516171819,0.364554131,0.322751757,0.6
Mallows,EPIRA+Schulze,0,a,0.596491228,0.807384348,[ 1 19 12  2  8 14 11 16  6  9 15  4  3 13  0  7 17 10 18  5],grp0-012345,grp1-678910111213141516171819,0.32850242,0.406872416,0.6
Mallows,EPIRA+Borda,0,a,0.595614035,0.920069459,[19  1  8 12 16  2 14 11 15  9  6  4 17  3  0 13 10  7 18  5],grp0-012345,grp1-678910111213141516171819,0.360661787,0.331833895,0.6
Mallows,EPIRA+Maximin,0,a,0.570175439,0.728256961,[ 1 19  8  2  3 12 14  0  6  7  9 11 15 16 17 18  4  5 13 10],grp0-012345,grp1-678910111213141516171819,0.316575197,0.434702604,0.6
Mallows,EPIK,0,b,0.611403509,0.645533873,[ 2  4  7 15 18  5  8 10 13  1  9  0  3 19 14 16  6 12 11 17],grp0-012345,grp1-678910111213141516171819,0.302227066,0.468181576,0.6
Mallows,EPIRA+Kemeny,0,b,0.611403509,0.628869634,[ 4  2  7 15 18  1  5  9  8 10 13  0  3 14 12 19 16  6 11 17],grp0-012345,grp1-678910111213141516171819,0.29906503,0.475559661,0.6
Mallows,EPIRA+Copeland,0,b,0.605263158,0.672447083,[ 2  7  5 15  4 18  1  9 10 13  8  3 14 19  0  6 16 12 11 17],grp0-012345,grp1-678910111213141516171819,0.30713172,0.456737382,0.6
Mallows,EPIRA+Copeland_noWiG,0,b,0.605263158,0.672447083,[ 2  7  5 15  4 18  1  9 10 13  8  3 14 19  0  6 16 12 11 17],grp0-012345,grp1-678910111213141516171819,0.30713172,0.456737382,0.6
Mallows,EPIRA+Schulze,0,b,0.606140351,0.617794558,[ 2  4  7  5 15 10 13 18  8  1  9  3  0 14 12 16 19  6 11 17],grp0-012345,grp1-678910111213141516171819,0.296907825,0.480593138,0.6
