data_name,method,consensus_accuracy,exposure_ratio,consensus_ranking,group_0,group_1,group_0_avg_exp,group_1_avg_exp
DublinWest,KEMENY,0.648201754385965,0.823308164336734,[4 1 3 6 8 2 0 5 7],male,female,0.5130079774141415,0.42236365617493754
DublinWest,EPIK,0.6391812865497076,0.9627675184839753,[4 1 8 3 2 6 5 0 7],male,female,0.48067572352622506,0.4627789735348331
DublinWest,FAIRKEMENY,0.648201754385965,0.823308164336734,[4 1 3 6 8 2 0 5 7],male,female,0.5130079774141415,0.42236365617493754
DublinWest,EPIRA+Kemeny,0.6385233918128655,0.9869251985977887,[4 1 8 2 3 6 0 5 7],male,female,0.4754846646679757,0.4692677971076449
DublinWest,EPIRA+Copeland,0.6385233918128655,0.9869251985977887,[4 1 8 2 3 6 0 5 7],male,female,0.4754846646679757,0.4692677971076449
DublinWest,EPIRA+Schulze,0.6385233918128655,0.9869251985977887,[4 1 8 2 3 6 0 5 7],male,female,0.4754846646679757,0.4692677971076449
DublinWest,EPIRA+Borda,0.6318859649122807,0.9869251985977887,[3 1 8 2 4 6 0 5 7],male,female,0.4754846646679757,0.4692677971076449
DublinWest,EPIRA+Maximin,0.6385233918128655,0.9869251985977887,[4 1 8 2 3 6 0 5 7],male,female,0.4754846646679757,0.4692677971076449
DublinWest,RAPF,0.642719298245614,0.7824327659624523,[1 3 4 8 2 6 5 0 7],male,female,0.42072636262583796,0.537715674660317
DublinWest,PRE-FE,0.6295029239766082,0.6211613292857616,[1 8 4 2 3 6 5 0 7],male,female,0.37191097335845474,0.598734911244546
